updateDate,code,code_name
2023-03-20,sh.688208,道通科技
2023-03-20,sh.688256,寒武纪
2023-03-20,sh.688289,圣湘生物
2023-03-20,sh.688301,奕瑞科技
2023-03-20,sh.688385,复旦微电
2023-03-20,sh.688390,固德威
2023-03-20,sh.688521,芯原股份
2023-03-20,sh.688538,和辉光电
2023-03-20,sh.688567,孚能科技
2023-03-20,sh.688690,纳微科技
2023-03-20,sh.688772,珠海冠宇
2023-03-20,sh.688777,中控技术
2023-03-20,sh.688779,长远锂科
2023-03-20,sh.688819,天能股份
2023-03-20,sh.689009,九号公司
2023-03-20,sz.000009,中国宝安
2023-03-20,sz.000012,南玻A
2023-03-20,sz.000021,深科技
2023-03-20,sz.000027,深圳能源
2023-03-20,sz.000031,大悦城
2023-03-20,sz.000039,中集集团
2023-03-20,sz.000050,深天马A
2023-03-20,sz.000060,中金岭南
2023-03-20,sz.000062,深圳华强
2023-03-20,sz.000089,深圳机场
2023-03-20,sz.000155,川能动力
2023-03-20,sz.000156,华数传媒
2023-03-20,sz.000400,许继电气
2023-03-20,sz.000401,冀东水泥
2023-03-20,sz.000402,金融街
2023-03-20,sz.000415,渤海租赁
2023-03-20,sz.000513,丽珠集团
2023-03-20,sz.000519,中兵红箭
2023-03-20,sz.000537,广宇发展
2023-03-20,sz.000540,中天金融
2023-03-20,sz.000547,航天发展
2023-03-20,sz.000553,安道麦A
2023-03-20,sz.000559,万向钱潮
2023-03-20,sz.000563,陕国投A
2023-03-20,sz.000581,威孚高科
2023-03-20,sz.000591,太阳能
2023-03-20,sz.000598,兴蓉环境
2023-03-20,sz.000623,吉林敖东
2023-03-20,sz.000629,钒钛股份
2023-03-20,sz.000630,铜陵有色
2023-03-20,sz.000636,风华高科
2023-03-20,sz.000656,金科股份
2023-03-20,sz.000683,远兴能源
2023-03-20,sz.000703,恒逸石化
2023-03-20,sz.000709,河钢股份
2023-03-20,sz.000728,国元证券
2023-03-20,sz.000729,燕京啤酒
2023-03-20,sz.000738,航发控制
2023-03-20,sz.000739,普洛药业
2023-03-20,sz.000750,国海证券
2023-03-20,sz.000778,新兴铸管
2023-03-20,sz.000783,长江证券
2023-03-20,sz.000785,居然之家
2023-03-20,sz.000807,云铝股份
2023-03-20,sz.000825,太钢不锈
2023-03-20,sz.000830,鲁西化工
2023-03-20,sz.000831,中国稀土
2023-03-20,sz.000869,张裕A
2023-03-20,sz.000878,云南铜业
2023-03-20,sz.000883,湖北能源
2023-03-20,sz.000887,中鼎股份
2023-03-20,sz.000898,鞍钢股份
2023-03-20,sz.000930,中粮科技
2023-03-20,sz.000932,华菱钢铁
2023-03-20,sz.000937,冀中能源
2023-03-20,sz.000959,首钢股份
2023-03-20,sz.000960,锡业股份
2023-03-20,sz.000961,中南建设
2023-03-20,sz.000967,盈峰环境
2023-03-20,sz.000970,中科三环
2023-03-20,sz.000975,银泰黄金
2023-03-20,sz.000987,越秀资本
2023-03-20,sz.000988,华工科技
2023-03-20,sz.000990,诚志股份
2023-03-20,sz.000997,新大陆
2023-03-20,sz.000998,隆平高科
2023-03-20,sz.000999,华润三九
2023-03-20,sz.001203,大中矿业
2023-03-20,sz.001227,兰州银行
2023-03-20,sz.001872,招商港口
2023-03-20,sz.001914,招商积余
2023-03-20,sz.002002,鸿达兴业
2023-03-20,sz.002010,传化智联
2023-03-20,sz.002019,亿帆医药
2023-03-20,sz.002025,航天电器
2023-03-20,sz.002028,思源电气
2023-03-20,sz.002030,达安基因
2023-03-20,sz.002048,宁波华翔
2023-03-20,sz.002056,横店东磁
2023-03-20,sz.002065,东华软件
2023-03-20,sz.002078,太阳纸业
2023-03-20,sz.002080,中材科技
2023-03-20,sz.002081,金螳螂
2023-03-20,sz.002092,中泰化学
2023-03-20,sz.002110,三钢闽光
2023-03-20,sz.002124,天邦食品
2023-03-20,sz.002127,南极电商
2023-03-20,sz.002128,电投能源
2023-03-20,sz.002131,利欧股份
2023-03-20,sz.002138,顺络电子
2023-03-20,sz.002146,荣盛发展
2023-03-20,sz.002152,广电运通
2023-03-20,sz.002153,石基信息
2023-03-20,sz.002155,湖南黄金
2023-03-20,sz.002156,通富微电
2023-03-20,sz.002183,怡亚通
2023-03-20,sz.002185,华天科技
2023-03-20,sz.002191,劲嘉股份
2023-03-20,sz.002192,融捷股份
2023-03-20,sz.002195,二三四五
2023-03-20,sz.002203,海亮股份
2023-03-20,sz.002212,天融信
2023-03-20,sz.002221,东华能源
2023-03-20,sz.002223,鱼跃医疗
2023-03-20,sz.002242,九阳股份
2023-03-20,sz.002244,滨江集团
2023-03-20,sz.002249,大洋电机
2023-03-20,sz.002250,联化科技
2023-03-20,sz.002266,浙富控股
2023-03-20,sz.002268,电科网安
2023-03-20,sz.002273,水晶光电
2023-03-20,sz.002281,光迅科技
2023-03-20,sz.002294,信立泰
2023-03-20,sz.002299,圣农发展
2023-03-20,sz.002326,永太科技
2023-03-20,sz.002340,格林美
2023-03-20,sz.002353,杰瑞股份
2023-03-20,sz.002368,太极股份
2023-03-20,sz.002372,伟星新材
2023-03-20,sz.002373,千方科技
2023-03-20,sz.002384,东山精密
2023-03-20,sz.002385,大北农
2023-03-20,sz.002396,星网锐捷
2023-03-20,sz.002399,海普瑞
2023-03-20,sz.002407,多氟多
2023-03-20,sz.002408,齐翔腾达
2023-03-20,sz.002409,雅克科技
2023-03-20,sz.002416,爱施德
2023-03-20,sz.002422,科伦药业
2023-03-20,sz.002423,中粮资本
2023-03-20,sz.002429,兆驰股份
2023-03-20,sz.002430,杭氧股份
2023-03-20,sz.002434,万里扬
2023-03-20,sz.002439,启明星辰
2023-03-20,sz.002444,巨星科技
2023-03-20,sz.002465,海格通信
2023-03-20,sz.002468,申通快递
2023-03-20,sz.002497,雅化集团
2023-03-20,sz.002500,山西证券
2023-03-20,sz.002505,鹏都农牧
2023-03-20,sz.002506,协鑫集成
2023-03-20,sz.002507,涪陵榨菜
2023-03-20,sz.002508,老板电器
2023-03-20,sz.002511,中顺洁柔
2023-03-20,sz.002531,天顺风能
2023-03-20,sz.002532,天山铝业
2023-03-20,sz.002557,洽洽食品
2023-03-20,sz.002563,森马服饰
2023-03-20,sz.002568,百润股份
2023-03-20,sz.002572,索菲亚
2023-03-20,sz.002595,豪迈科技
2023-03-20,sz.002603,以岭药业
2023-03-20,sz.002624,完美世界
2023-03-20,sz.002625,光启技术
2023-03-20,sz.002653,海思科
2023-03-20,sz.002670,国盛金控
2023-03-20,sz.002673,西部证券
2023-03-20,sz.002683,广东宏大
2023-03-20,sz.002690,美亚光电
2023-03-20,sz.002701,奥瑞金
2023-03-20,sz.002705,新宝股份
2023-03-20,sz.002738,中矿资源
2023-03-20,sz.002739,万达电影
2023-03-20,sz.002745,木林森
2023-03-20,sz.002797,第一创业
2023-03-20,sz.002831,裕同科技
2023-03-20,sz.002850,科达利
2023-03-20,sz.002867,周大生
2023-03-20,sz.002901,大博医疗
2023-03-20,sz.002925,盈趣科技
2023-03-20,sz.002926,华西证券
2023-03-20,sz.002936,郑州银行
2023-03-20,sz.002939,长城证券
2023-03-20,sz.002945,华林证券
2023-03-20,sz.002948,青岛银行
2023-03-20,sz.002958,青农商行
2023-03-20,sz.002966,苏州银行
2023-03-20,sz.002985,北摩高科
2023-03-20,sz.003035,南网能源
2023-03-20,sz.300001,特锐德
2023-03-20,sz.300003,乐普医疗
2023-03-20,sz.300009,安科生物
2023-03-20,sz.300012,华测检测
2023-03-20,sz.300017,网宿科技
2023-03-20,sz.300024,机器人
2023-03-20,sz.300026,红日药业
2023-03-20,sz.300037,新宙邦
2023-03-20,sz.300058,蓝色光标
2023-03-20,sz.300070,碧水源
2023-03-20,sz.300072,海新能科
2023-03-20,sz.300073,当升科技
2023-03-20,sz.300088,长信科技
2023-03-20,sz.300115,长盈精密
2023-03-20,sz.300136,信维通信
2023-03-20,sz.300144,宋城演艺
2023-03-20,sz.300146,汤臣倍健
2023-03-20,sz.300168,万达信息
2023-03-20,sz.300182,捷成股份
2023-03-20,sz.300212,易华录
2023-03-20,sz.300244,迪安诊断
2023-03-20,sz.300251,光线传媒
2023-03-20,sz.300253,卫宁健康
2023-03-20,sz.300257,开山股份
2023-03-20,sz.300285,国瓷材料
2023-03-20,sz.300296,利亚德
2023-03-20,sz.300308,中际旭创
2023-03-20,sz.300357,我武生物
2023-03-20,sz.300363,博腾股份
2023-03-20,sz.300373,扬杰科技
2023-03-20,sz.300376,易事特
2023-03-20,sz.300383,光环新网
2023-03-20,sz.300390,天华超净
2023-03-20,sz.300418,昆仑万维
2023-03-20,sz.300463,迈克生物
2023-03-20,sz.300474,景嘉微
2023-03-20,sz.300482,万孚生物
2023-03-20,sz.300558,贝达药业
2023-03-20,sz.300568,星源材质
2023-03-20,sz.300604,长川科技
2023-03-20,sz.300618,寒锐钴业
2023-03-20,sz.300630,普利制药
2023-03-20,sz.300676,华大基因
2023-03-20,sz.300677,英科医疗
2023-03-20,sz.300682,朗新科技
2023-03-20,sz.300699,光威复材
2023-03-20,sz.300724,捷佳伟创
2023-03-20,sz.300741,华宝股份
2023-03-20,sz.300776,帝尔激光
2023-03-20,sz.300832,新产业
2023-03-20,sz.300850,新强联
2023-03-20,sz.300861,美畅股份
2023-03-20,sz.300866,安克创新
2023-03-20,sz.300869,康泰医学
2023-03-20,sz.300888,稳健医疗
2023-03-20,sz.301029,怡合达
2023-03-20,sh.600000,浦发银行
2023-03-20,sh.600009,上海机场
2023-03-20,sh.600010,包钢股份
2023-03-20,sh.600011,华能国际
2023-03-20,sh.600015,华夏银行
2023-03-20,sh.600016,民生银行
2023-03-20,sh.600018,上港集团
2023-03-20,sh.600019,宝钢股份
2023-03-20,sh.600025,华能水电
2023-03-20,sh.600028,中国石化
2023-03-20,sh.600029,南方航空
2023-03-20,sh.600030,中信证券
2023-03-20,sh.600031,三一重工
2023-03-20,sh.600036,招商银行
2023-03-20,sh.600039,四川路桥
2023-03-20,sh.600048,保利发展
2023-03-20,sh.600050,中国联通
2023-03-20,sh.600061,国投资本
2023-03-20,sh.600085,同仁堂
2023-03-20,sh.600089,特变电工
2023-03-20,sh.600104,上汽集团
2023-03-20,sh.600111,北方稀土
2023-03-20,sh.600115,中国东航
2023-03-20,sh.600132,重庆啤酒
2023-03-20,sh.600150,中国船舶
2023-03-20,sh.600176,中国巨石
2023-03-20,sh.600183,生益科技
2023-03-20,sh.600188,兖矿能源
2023-03-20,sh.600196,复星医药
2023-03-20,sh.600219,南山铝业
2023-03-20,sh.600233,圆通速递
2023-03-20,sh.600276,恒瑞医药
2023-03-20,sh.600309,万华化学
2023-03-20,sh.600332,白云山
2023-03-20,sh.600346,恒力石化
2023-03-20,sh.600362,江西铜业
2023-03-20,sh.600383,金地集团
2023-03-20,sh.600406,国电南瑞
2023-03-20,sh.600426,华鲁恒升
2023-03-20,sh.600436,片仔癀
2023-03-20,sh.600438,通威股份
2023-03-20,sh.600460,士兰微
2023-03-20,sh.600519,贵州茅台
2023-03-20,sh.600547,山东黄金
2023-03-20,sh.600570,恒生电子
2023-03-20,sh.600584,长电科技
2023-03-20,sh.600585,海螺水泥
2023-03-20,sh.600588,用友网络
2023-03-20,sh.600600,青岛啤酒
2023-03-20,sh.600606,绿地控股
2023-03-20,sh.600660,福耀玻璃
2023-03-20,sh.600674,川投能源
2023-03-20,sh.600690,海尔智家
2023-03-20,sh.600741,华域汽车
2023-03-20,sh.600745,闻泰科技
2023-03-20,sh.600760,中航沈飞
2023-03-20,sh.600763,通策医疗
2023-03-20,sh.600795,国电电力
2023-03-20,sh.600803,新奥股份
2023-03-20,sh.600809,山西汾酒
2023-03-20,sh.600837,海通证券
2023-03-20,sh.600845,宝信软件
2023-03-20,sh.600884,杉杉股份
2023-03-20,sh.600886,国投电力
2023-03-20,sh.600887,伊利股份
2023-03-20,sh.600893,航发动力
2023-03-20,sh.600900,长江电力
2023-03-20,sh.600905,三峡能源
2023-03-20,sh.600918,中泰证券
2023-03-20,sh.600919,江苏银行
2023-03-20,sh.600926,杭州银行
2023-03-20,sh.600941,中国移动
2023-03-20,sh.600958,东方证券
2023-03-20,sh.600989,宝丰能源
2023-03-20,sh.600999,招商证券
2023-03-20,sh.601006,大秦铁路
2023-03-20,sh.601009,南京银行
2023-03-20,sh.601012,隆基绿能
2023-03-20,sh.601021,春秋航空
2023-03-20,sh.601066,中信建投
2023-03-20,sh.601088,中国神华
2023-03-20,sh.601100,恒立液压
2023-03-20,sh.601111,中国国航
2023-03-20,sh.601117,中国化学
2023-03-20,sh.601138,工业富联
2023-03-20,sh.601155,新城控股
2023-03-20,sh.601166,兴业银行
2023-03-20,sh.601169,北京银行
2023-03-20,sh.601186,中国铁建
2023-03-20,sh.601211,国泰君安
2023-03-20,sh.601216,君正集团
2023-03-20,sh.601225,陕西煤业
2023-03-20,sh.601229,上海银行
2023-03-20,sh.601236,红塔证券
2023-03-20,sh.601238,广汽集团
2023-03-20,sh.601288,农业银行
2023-03-20,sh.601318,中国平安
2023-03-20,sh.601319,中国人保
2023-03-20,sh.601328,交通银行
2023-03-20,sh.601336,新华保险
2023-03-20,sh.601360,三六零
2023-03-20,sh.601377,兴业证券
2023-03-20,sh.601390,中国中铁
2023-03-20,sh.601398,工商银行
2023-03-20,sh.601600,中国铝业
2023-03-20,sh.601601,中国太保
2023-03-20,sh.601615,明阳智能
2023-03-20,sh.601618,中国中冶
2023-03-20,sh.601628,中国人寿
2023-03-20,sh.601633,长城汽车
2023-03-20,sh.601658,邮储银行
2023-03-20,sh.601668,中国建筑
2023-03-20,sh.601669,中国电建
2023-03-20,sh.601688,华泰证券
2023-03-20,sh.601689,拓普集团
2023-03-20,sh.601698,中国卫通
2023-03-20,sh.601728,中国电信
2023-03-20,sh.601766,中国中车
2023-03-20,sh.601788,光大证券
2023-03-20,sh.601799,星宇股份
2023-03-20,sh.601800,中国交建
2023-03-20,sh.601808,中海油服
2023-03-20,sh.601816,京沪高铁
2023-03-20,sh.601818,光大银行
2023-03-20,sh.601838,成都银行
2023-03-20,sh.601857,中国石油
2023-03-20,sh.601865,福莱特
2023-03-20,sh.601868,中国能建
2023-03-20,sh.601877,正泰电器
2023-03-20,sh.601878,浙商证券
2023-03-20,sh.601881,中国银河
2023-03-20,sh.601888,中国中免
2023-03-20,sh.601898,中煤能源
2023-03-20,sh.601899,紫金矿业
2023-03-20,sh.601901,方正证券
2023-03-20,sh.601919,中远海控
2023-03-20,sh.601939,建设银行
2023-03-20,sh.601966,玲珑轮胎
2023-03-20,sh.601985,中国核电
2023-03-20,sh.601988,中国银行
2023-03-20,sh.601989,中国重工
2023-03-20,sh.601995,中金公司
2023-03-20,sh.601998,中信银行
2023-03-20,sh.603019,中科曙光
2023-03-20,sh.603185,上机数控
2023-03-20,sh.603195,公牛集团
2023-03-20,sh.603259,药明康德
2023-03-20,sh.603260,合盛硅业
2023-03-20,sh.603288,海天味业
2023-03-20,sh.603290,斯达半导
2023-03-20,sh.603369,今世缘
2023-03-20,sh.603392,万泰生物
2023-03-20,sh.603486,科沃斯
2023-03-20,sh.603501,韦尔股份
2023-03-20,sh.603659,璞泰来
2023-03-20,sh.603799,华友钴业
2023-03-20,sh.603806,福斯特
2023-03-20,sh.603833,欧派家居
2023-03-20,sh.603882,金域医学
2023-03-20,sh.603899,晨光股份
2023-03-20,sh.603986,兆易创新
2023-03-20,sh.603993,洛阳钼业
2023-03-20,sh.605117,德业股份
2023-03-20,sh.605499,东鹏饮料
2023-03-20,sh.688005,容百科技
2023-03-20,sh.688008,澜起科技
2023-03-20,sh.688012,中微公司
2023-03-20,sh.688036,传音控股
2023-03-20,sh.688065,凯赛生物
2023-03-20,sh.688111,金山办公
2023-03-20,sh.688126,沪硅产业
2023-03-20,sh.688169,石头科技
2023-03-20,sh.688187,时代电气
2023-03-20,sh.688303,大全能源
2023-03-20,sh.688363,华熙生物
2023-03-20,sh.688396,华润微
2023-03-20,sh.688561,奇安信
2023-03-20,sh.688599,天合光能
2023-03-20,sh.688981,中芯国际
2023-03-20,sz.000001,平安银行
2023-03-20,sz.000002,万科A
2023-03-20,sz.000063,中兴通讯
2023-03-20,sz.000069,华侨城A
2023-03-20,sz.000100,TCL科技
2023-03-20,sz.000157,中联重科
2023-03-20,sz.000166,申万宏源
2023-03-20,sz.000301,东方盛虹
2023-03-20,sz.000333,美的集团
2023-03-20,sz.000338,潍柴动力
2023-03-20,sz.000408,藏格矿业
2023-03-20,sz.000425,徐工机械
2023-03-20,sz.000538,云南白药
2023-03-20,sz.000568,泸州老窖
2023-03-20,sz.000596,古井贡酒
2023-03-20,sz.000625,长安汽车
2023-03-20,sz.000651,格力电器
2023-03-20,sz.000661,长春高新
2023-03-20,sz.000708,中信特钢
2023-03-20,sz.000723,美锦能源
2023-03-20,sz.000725,京东方A
2023-03-20,sz.000733,振华科技
2023-03-20,sz.000768,中航西飞
2023-03-20,sz.000776,广发证券
2023-03-20,sz.000786,北新建材
2023-03-20,sz.000792,盐湖股份
2023-03-20,sz.000800,一汽解放
2023-03-20,sz.000858,五粮液
2023-03-20,sz.000876,新希望
2023-03-20,sz.000877,天山股份
2023-03-20,sz.000895,双汇发展
2023-03-20,sz.000938,紫光股份
2023-03-20,sz.000963,华东医药
2023-03-20,sz.000977,浪潮信息
2023-03-20,sz.001289,龙源电力
2023-03-20,sz.001979,招商蛇口
2023-03-20,sz.002001,新和成
2023-03-20,sz.002007,华兰生物
2023-03-20,sz.002008,大族激光
2023-03-20,sz.002027,分众传媒
2023-03-20,sz.002032,苏泊尔
2023-03-20,sz.002049,紫光国微
2023-03-20,sz.002050,三花智控
2023-03-20,sz.002064,华峰化学
2023-03-20,sz.002074,国轩高科
2023-03-20,sz.002120,韵达股份
2023-03-20,sz.002129,TCL中环
2023-03-20,sz.002142,宁波银行
2023-03-20,sz.002179,中航光电
2023-03-20,sz.002180,纳思达
2023-03-20,sz.002202,金风科技
2023-03-20,sz.002230,科大讯飞
2023-03-20,sz.002236,大华股份
2023-03-20,sz.002241,歌尔股份
2023-03-20,sz.002252,上海莱士
2023-03-20,sz.002271,东方雨虹
2023-03-20,sz.002304,洋河股份
2023-03-20,sz.002311,海大集团
2023-03-20,sz.002352,顺丰控股
2023-03-20,sz.002371,北方华创
2023-03-20,sz.002410,广联达
2023-03-20,sz.002414,高德红外
2023-03-20,sz.002415,海康威视
2023-03-20,sz.002459,晶澳科技
2023-03-20,sz.002460,赣锋锂业
